Client_ID,Balance_Limit_V1,Gender,EDUCATION_STATUS,MARITAL_STATUS,AGE,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_JULY,DUE_AMT_AUG,DUE_AMT_SEP,DUE_AMT_OCT,DUE_AMT_NOV,DUE_AMT_DEC,PAID_AMT_JULY,PAID_AMT_AUG,PAID_AMT_SEP,PAID_AMT_OCT,PAID_AMT_NOV,PAID_AMT_DEC,NEXT_MONTH_DEFAULT
A2,1000000,0,0,1,1,-1,-1,-1,-1,-1,-1,3248,3389,6004,39418,162772,-13982,3437,6004,39418,162772,0,538165,0
A3,1000000,1,1,1,0,0,-1,-1,-1,-1,0,353351,151818,26948,43530,80811,124590,151818,46200,43530,80811,942,33666,0
A4,100000,1,1,0,1,4,3,2,2,-2,-2,16681,16082,15477,0,0,0,0,0,0,0,0,0,1
A5,200000,1,0,0,1,2,0,0,0,0,0,90457,92848,95193,97309,100353,102740,3855,3890,3696,4620,4049,3918,1
A6,1000000,1,0,1,1,2,2,0,0,0,0,429556,419466,429785,435354,445271,453899,0,20790,16170,17325,16401,17325,0
A8,400000,1,0,0,1,0,0,0,0,0,0,361284,364802,366703,353910,356117,358845,16632,18480,12728,13398,13860,12705,0
A9,100000,0,2,0,0,1,2,2,2,2,2,8991,8515,11698,11173,12030,12647,0,3696,0,1386,1155,0,0
A11,100000,1,1,1,0,2,2,2,0,0,2,51836,55828,54241,55325,59272,57976,5521,0,1984,4844,0,2523,1
A12,500000,0,2,1,1,0,0,0,2,0,0,198579,204634,218092,212970,213654,217992,9240,17325,0,6930,11550,11550,0
A13,1000000,0,2,0,2,0,0,2,0,0,0,268551,282726,274123,221148,222936,224276,26565,0,8184,8547,8194,7311,0
A15,500000,0,0,1,0,-2,-2,-2,-2,-2,-2,1349,2617,1321,1855,2116,2747,2617,1321,1855,2116,2747,866,0
A16,500000,1,0,1,1,-1,-1,-1,-1,-1,-1,17161,56191,92996,34888,32522,48228,56191,93012,35017,32522,48228,61714,0
A17,1000000,1,0,0,1,-2,-2,-1,0,0,-2,38020,9517,102019,81388,2042,22924,2174,103356,0,2042,22924,25003,1
A18,100000,1,0,1,0,0,0,0,0,0,0,41795,42834,43684,43890,44807,46064,3003,3721,1617,1626,2003,1379,0
A19,100000,1,1,1,1,0,0,0,-2,-2,-2,70058,69298,0,0,0,0,4084,0,0,0,0,0,1
A21,400000,0,1,1,2,2,0,0,0,0,0,143317,146558,147214,147265,151123,157242,6930,4620,4620,4620,6930,6930,1
A22,100000,1,1,0,1,2,2,2,0,0,0,43102,52077,50564,52486,54056,57750,10395,0,3465,2772,4620,6930,1
A24,100000,0,2,1,0,0,0,0,0,0,3,18505,20885,25186,26847,30677,29517,3049,5038,2079,4620,0,0,0
A27,100000,1,2,0,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,44835,0
A29,200000,0,2,0,1,0,0,0,0,0,0,185347,160702,148923,124786,129018,102301,6930,5775,4620,6930,4620,3465,0
A31,500000,0,2,1,1,-1,0,0,0,0,0,3821,76824,79452,81592,83735,85579,73920,4620,3465,3465,3234,3696,0
A32,300000,1,0,0,1,-1,-1,-1,-1,-1,-1,74036,8944,120467,6329,10686,1853,8944,120467,6329,10686,1853,0,0
A33,100000,1,2,1,0,0,0,2,0,0,0,18790,23082,24315,25523,27408,29256,4620,2310,2310,2310,2310,18711,0
A34,500000,1,1,1,0,-2,-2,-2,-2,-1,-1,1959,1739,1264,-5,4712,0,1739,1264,5,4717,0,0,0
