Client_ID,Balance_Limit_V1,Gender,EDUCATION_STATUS,MARITAL_STATUS,AGE,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_AUG,PAID_AMT_JULY,PAID_AMT_AUG,PAID_AMT_SEP,PAID_AMT_OCT,PAID_AMT_NOV,PAID_AMT_DEC,Ability_to_pay_AUG,Ability_to_pay_SEP,Ability_to_pay_OCT,Ability_to_pay_NOV,Ability_to_pay_DEC,AVG_PAID_AMT,NEXT_MONTH_DEFAULT
A2,1000000,0,0,1,1,-1,-1,-1,-1,-1,-1,3389,3437,6004,39418,162772,0,538165,2615,33414,123354,-162772,552147,124966.0,0
A3,1000000,1,1,1,0,0,-1,-1,-1,-1,0,151818,151818,46200,43530,80811,942,33666,-105618,16582,37281,-79869,-124590,59494.5,0
A4,100000,1,1,0,1,4,3,2,2,-2,-2,16082,0,0,0,0,0,0,-16082,-15477,0,0,0,0.0,1
A5,200000,1,0,0,1,2,0,0,0,0,0,92848,3855,3890,3696,4620,4049,3918,-92848,-95193,-97309,-100353,-102740,4004.6666666666665,1
A6,1000000,1,0,1,1,2,2,0,0,0,0,419466,0,20790,16170,17325,16401,17325,-461046,-429785,-435354,-445271,-453899,14668.5,0
A8,400000,1,0,0,1,0,0,0,0,0,0,364802,16632,18480,12728,13398,13860,12705,-364802,-366703,-353910,-356117,-358845,14633.833333333334,0
A9,100000,0,2,0,0,1,2,2,2,2,2,8515,0,3696,0,1386,1155,0,-15907,-11698,-13945,-14340,-12647,1039.5,0
A11,100000,1,1,1,0,2,2,2,0,0,2,55828,5521,0,1984,4844,0,2523,-55828,-58209,-55325,-59272,-63022,2478.6666666666665,1
A12,500000,0,2,1,1,0,0,0,2,0,0,204634,9240,17325,0,6930,11550,11550,-204634,-218092,-226830,-213654,-217992,9432.5,0
A13,1000000,0,2,0,2,0,0,2,0,0,0,282726,26565,0,8184,8547,8194,7311,-282726,-290491,-221148,-222936,-224276,9800.166666666666,0
A15,500000,0,0,1,0,-2,-2,-2,-2,-2,-2,2617,2617,1321,1855,2116,2747,866,25,2389,2377,3378,-1015,1920.3333333333333,0
A16,500000,1,0,1,1,-1,-1,-1,-1,-1,-1,56191,56191,93012,35017,32522,48228,61714,36821,-57979,-2366,15706,13486,54447.333333333336,0
A17,1000000,1,0,0,1,-2,-2,-1,0,0,-2,9517,2174,103356,0,2042,22924,25003,197195,-102019,-81388,-2042,27082,25916.5,1
A18,100000,1,0,1,0,0,0,0,0,0,0,42834,3003,3721,1617,1626,2003,1379,-42834,-43684,-43890,-44807,-46064,2224.8333333333335,0
A19,100000,1,1,1,1,0,0,0,-2,-2,-2,69298,4084,0,0,0,0,0,-69298,0,0,0,0,680.6666666666666,1
A21,400000,0,1,1,2,2,0,0,0,0,0,146558,6930,4620,4620,4620,6930,6930,-146558,-147214,-147265,-151123,-157242,5775.0,1
A22,100000,1,1,0,1,2,2,2,0,0,0,52077,10395,0,3465,2772,4620,6930,-52077,-57494,-52486,-54056,-57750,4697.0,1
A24,100000,0,2,1,0,0,0,0,0,0,3,20885,3049,5038,2079,4620,0,0,-20885,-25186,-26847,-30677,-29517,2464.3333333333335,0
A27,100000,1,2,0,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,44835,0,0,0,0,89670,7472.5,0
A29,200000,0,2,0,1,0,0,0,0,0,0,160702,6930,5775,4620,6930,4620,3465,-160702,-148923,-124786,-129018,-102301,5390.0,0
A31,500000,0,2,1,1,-1,0,0,0,0,0,76824,73920,4620,3465,3465,3234,3696,-76824,-79452,-81592,-83735,-85579,15400.0,0
A32,300000,1,0,0,1,-1,-1,-1,-1,-1,-1,8944,8944,120467,6329,10686,1853,0,111523,-114138,4357,-8833,-1853,24713.166666666668,0
A33,100000,1,2,1,0,0,0,2,0,0,0,23082,4620,2310,2310,2310,2310,18711,-23082,-28935,-25523,-27408,-29256,5428.5,0
A34,500000,1,1,1,0,-2,-2,-2,-2,-1,-1,1739,1739,1264,5,4717,0,0,789,-1254,9439,-4712,0,1287.5,0
A35,200000,0,2,1,2,-1,4,3,2,3,2,2571,0,0,746,0,0,2744,-2571,-4761,-3269,-2576,-6802,581.6666666666666,0
A36,400000,1,2,0,1,-2,-2,-2,-2,-2,-2,14602,14602,235869,4897,6637,0,2010,457136,-226075,8377,-6637,4020,44002.5,0
A37,1500000,1,0,0,1,1,-1,-1,-2,-2,-2,566,566,0,0,0,0,0,-566,0,0,0,0,94.33333333333333,0
A38,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,915,915,915,0,1830,157299,3927,0,-915,1830,155469,-153372,27481.0,0
A39,1000000,1,0,1,1,0,0,0,0,0,0,696514,30030,30298,25410,25410,27720,21483,-696514,-711568,-707216,-682984,-670660,26725.166666666668,0
A40,1000000,1,2,0,1,-2,-1,-1,-2,-2,-2,25431,25431,21645,17293,10169,8422,13996,-3786,-4329,3059,6675,19570,16159.333333333334,0
A41,400000,1,0,1,1,0,0,0,0,0,0,433940,30030,14216,34650,13860,16170,11550,-433940,-395229,-318748,-326447,-322160,20079.333333333332,0
A42,200000,1,0,0,1,2,0,0,0,2,2,72132,4620,4620,6468,3465,0,3465,-72132,-74835,-80058,-81903,-87170,3773.0,1
A43,200000,1,2,1,0,0,0,0,0,0,0,53384,3319,2855,1499,1920,1312,522,-53384,-52650,-48189,-44158,-35311,1904.5,0
A45,200000,0,0,0,1,2,0,0,2,2,2,98602,4158,8547,0,8563,4389,0,-98602,-105507,-120242,-118789,-112248,4276.166666666667,1
A46,1000000,1,0,0,2,-2,-2,-2,-2,-2,-2,120612,120642,108420,0,108540,2037,0,96228,-108420,217080,-104466,-2037,56606.5,0
A47,500000,1,0,0,1,-1,-1,-1,-1,-1,-1,753,753,753,753,753,753,753,0,0,0,0,0,753.0,0
A48,1000000,0,2,0,1,1,2,2,2,2,2,655724,0,51282,27720,27720,2259,54285,-758288,-751362,-764037,-729188,-823390,27211.0,0
